iter	Passed	Remaining
0	281	281394
1	294	146735
2	301	100315
3	312	77800
4	317	63085
5	326	54142
6	334	47446
7	344	42714
8	354	39061
9	363	35954
10	372	33522
11	381	31378
12	390	29685
13	404	28475
14	412	27076
15	422	25974
16	430	24886
17	440	24051
18	450	23272
19	463	22728
20	484	22585
21	500	22250
22	539	22923
23	554	22531
24	565	22049
25	572	21457
26	583	21011
27	593	20601
28	600	20116
29	611	19769
30	618	19338
31	629	19047
32	637	18681
33	645	18332
34	657	18119
35	665	17829
36	676	17596
37	694	17581
38	705	17395
39	713	17135
40	724	16934
41	735	16768
42	742	16530
43	752	16358
44	762	16184
45	773	16045
46	783	15884
47	791	15692
48	801	15557
49	808	15369
50	819	15241
51	826	15067
52	839	14993
53	849	14889
54	857	14729
55	867	14623
56	874	14472
57	885	14379
58	895	14282
59	902	14143
60	913	14062
61	915	13853
62	923	13728
63	933	13648
64	943	13575
65	951	13458
66	961	13389
67	968	13280
68	987	13328
69	1010	13426
70	1024	13408
71	1046	13488
72	1063	13510
73	1073	13438
74	1085	13388
75	1094	13304
76	1104	13235
77	1118	13220
78	1126	13133
79	1135	13059
80	1143	12977
81	1151	12896
82	1160	12817
83	1168	12736
84	1175	12653
85	1184	12589
86	1192	12509
87	1200	12438
88	1207	12359
89	1216	12301
90	1224	12227
91	1232	12163
92	1239	12089
93	1250	12048
94	1257	11977
95	1265	11914
96	1272	11847
97	1281	11796
98	1289	11738
99	1298	11683
100	1305	11620
101	1313	11568
102	1321	11508
103	1329	11456
104	1337	11401
105	1345	11347
106	1353	11292
107	1361	11243
108	1369	11192
109	1377	11143
110	1384	11091
111	1392	11041
112	1400	10995
113	1408	10946
114	1416	10902
115	1425	10862
116	1433	10821
117	1443	10792
118	1451	10747
119	1462	10722
120	1472	10693
121	1481	10661
122	1491	10632
123	1499	10593
124	1510	10574
125	1520	10546
126	1528	10508
127	1539	10485
128	1546	10442
129	1557	10421
130	1564	10377
131	1574	10356
132	1582	10314
133	1590	10279
134	1600	10256
135	1608	10216
136	1618	10193
137	1626	10161
138	1638	10150
139	1650	10141
140	1659	10111
141	1670	10095
142	1682	10082
143	1691	10053
144	1702	10041
145	1715	10032
146	1723	10003
147	1734	9984
148	1742	9950
149	1749	9916
150	1761	9902
151	1768	9868
152	1778	9847
153	1787	9817
154	1797	9797
155	1807	9780
156	1815	9750
157	1825	9729
158	1834	9701
159	1844	9681
160	1852	9652
161	1862	9635
162	1872	9614
163	1881	9590
164	1891	9570
165	1898	9537
166	1909	9522
167	1922	9521
168	1930	9494
169	1941	9478
170	1948	9448
171	1962	9448
172	1973	9432
173	1980	9401
174	1990	9384
175	1998	9355
176	2008	9341
177	2019	9323
178	2026	9294
179	2037	9282
180	2044	9252
181	2056	9241
182	2068	9233
183	2075	9204
184	2091	9214
185	2102	9202
186	2110	9175
187	2120	9158
188	2131	9146
189	2139	9118
190	2149	9103
191	2158	9083
192	2168	9066
193	2176	9042
194	2187	9029
195	2197	9013
196	2205	8988
197	2215	8972
198	2223	8949
199	2234	8937
200	2241	8910
201	2253	8900
202	2264	8889
203	2271	8863
204	2281	8848
205	2289	8823
206	2300	8813
207	2311	8800
208	2318	8775
209	2330	8768
210	2338	8743
211	2346	8721
212	2357	8709
213	2364	8684
214	2374	8669
215	2381	8645
216	2392	8632
217	2400	8611
218	2410	8597
219	2421	8585
220	2428	8561
221	2439	8550
222	2447	8527
223	2458	8515
224	2465	8492
225	2475	8479
226	2486	8468
227	2494	8445
228	2503	8430
229	2511	8409
230	2521	8395
231	2529	8373
232	2539	8360
233	2550	8350
234	2558	8329
235	2568	8314
236	2576	8294
237	2586	8280
238	2593	8258
239	2604	8247
240	2613	8231
241	2621	8210
242	2631	8198
243	2639	8179
244	2649	8165
245	2658	8147
246	2668	8135
247	2678	8121
248	2687	8105
249	2697	8093
250	2705	8072
251	2715	8060
252	2723	8039
253	2734	8029
254	2744	8017
255	2751	7997
256	2762	7985
257	2769	7965
258	2780	7955
259	2788	7935
260	2799	7927
261	2810	7916
262	2818	7897
263	2828	7885
264	2836	7866
265	2846	7854
266	2857	7844
267	2864	7824
268	2874	7811
269	2882	7792
270	2892	7779
271	2899	7761
272	2909	7748
273	2917	7730
274	2928	7719
275	2938	7707
276	2946	7690
277	2956	7677
278	2964	7661
279	2974	7648
280	2981	7629
281	2992	7618
282	3002	7607
283	3010	7590
284	3022	7583
285	3030	7565
286	3040	7553
287	3051	7543
288	3059	7526
289	3068	7511
290	3076	7495
291	3085	7480
292	3092	7461
293	3100	7445
294	3108	7427
295	3116	7413
296	3124	7395
297	3132	7379
298	3139	7360
299	3148	7346
300	3155	7328
301	3164	7313
302	3171	7295
303	3179	7280
304	3187	7262
305	3195	7246
306	3202	7229
307	3211	7215
308	3218	7198
309	3227	7184
310	3235	7167
311	3243	7151
312	3250	7134
313	3259	7120
314	3266	7103
315	3274	7088
316	3282	7071
317	3291	7059
318	3300	7045
319	3308	7029
320	3315	7013
321	3323	6997
322	3331	6982
323	3339	6966
324	3346	6950
325	3354	6934
326	3362	6920
327	3372	6910
328	3380	6894
329	3390	6883
330	3398	6868
331	3408	6858
332	3415	6842
333	3426	6832
334	3433	6816
335	3442	6802
336	3452	6793
337	3460	6778
338	3470	6767
339	3478	6751
340	3488	6742
341	3496	6726
342	3503	6711
343	3514	6702
344	3521	6686
345	3532	6677
346	3539	6661
347	3550	6651
348	3557	6636
349	3567	6625
350	3578	6616
351	3585	6600
352	3596	6591
353	3604	6578
354	3614	6567
355	3622	6552
356	3632	6542
357	3642	6532
358	3650	6517
359	3660	6508
360	3668	6493
361	3678	6483
362	3687	6470
363	3697	6460
364	3707	6449
365	3714	6434
366	3724	6424
367	3732	6410
368	3743	6402
369	3751	6387
370	3761	6377
371	3768	6362
372	3776	6348
373	3786	6337
374	3794	6323
375	3804	6314
376	3812	6300
377	3822	6290
378	3829	6275
379	3840	6266
380	3850	6255
381	3858	6241
382	3868	6232
383	3875	6217
384	3886	6208
385	3894	6194
386	3904	6184
387	3912	6170
388	3922	6160
389	3933	6151
390	3940	6137
391	3950	6127
392	3958	6114
393	3968	6104
394	3976	6090
395	3988	6082
396	3997	6072
397	4005	6058
398	4015	6048
399	4023	6035
400	4033	6025
401	4043	6015
402	4051	6002
403	4061	5991
404	4069	5978
405	4078	5967
406	4087	5955
407	4097	5945
408	4104	5931
409	4116	5923
410	4125	5912
411	4134	5900
412	4144	5891
413	4152	5878
414	4162	5868
415	4170	5854
416	4181	5845
417	4191	5835
418	4198	5822
419	4209	5812
420	4216	5799
421	4226	5789
422	4234	5775
423	4244	5766
424	4255	5757
425	4263	5744
426	4273	5734
427	4280	5721
428	4291	5711
429	4299	5699
430	4309	5689
431	4320	5681
432	4328	5667
433	4339	5659
434	4347	5646
435	4357	5636
436	4367	5627
437	4375	5613
438	4385	5604
439	4393	5591
440	4402	5581
441	4411	5568
442	4421	5558
443	4429	5546
444	4439	5536
445	4449	5526
446	4457	5513
447	4466	5503
448	4474	5491
449	4485	5482
450	4493	5469
451	4503	5459
452	4513	5449
453	4520	5437
454	4530	5426
455	4538	5413
456	4548	5404
457	4556	5391
458	4566	5382
459	4574	5369
460	4584	5360
461	4594	5350
462	4602	5337
463	4612	5328
464	4619	5315
465	4631	5307
466	4638	5294
467	4649	5285
468	4659	5275
469	4667	5263
470	4677	5253
471	4685	5240
472	4695	5231
473	4703	5219
474	4713	5209
475	4723	5200
476	4730	5187
477	4741	5178
478	4749	5165
479	4759	5155
480	4766	5143
481	4776	5133
482	4785	5122
483	4793	5110
484	4803	5100
485	4811	5088
486	4821	5078
487	4828	5066
488	4838	5056
489	4846	5044
490	4857	5035
491	4867	5025
492	4875	5013
493	4884	5003
494	4892	4991
495	4902	4981
496	4909	4969
497	4920	4959
498	4927	4947
499	4938	4938
500	4948	4928
501	4957	4917
502	4967	4908
503	4975	4896
504	4985	4887
505	4993	4874
506	5001	4862
507	5009	4851
508	5016	4839
509	5025	4828
510	5032	4816
511	5041	4805
512	5048	4792
513	5057	4781
514	5064	4769
515	5072	4757
516	5080	4746
517	5093	4739
518	5102	4728
519	5110	4717
520	5118	4705
521	5126	4694
522	5134	4682
523	5142	4671
524	5151	4660
525	5159	4649
526	5167	4637
527	5175	4626
528	5183	4615
529	5191	4603
530	5198	4591
531	5206	4580
532	5214	4568
533	5222	4557
534	5230	4546
535	5239	4535
536	5248	4525
537	5257	4514
538	5264	4502
539	5272	4491
540	5284	4483
541	5291	4471
542	5301	4461
543	5309	4450
544	5319	4441
545	5330	4432
546	5337	4420
547	5347	4410
548	5355	4399
549	5365	4390
550	5373	4378
551	5383	4369
552	5394	4360
553	5401	4348
554	5415	4342
555	5423	4330
556	5434	4321
557	5444	4312
558	5451	4301
559	5461	4291
560	5468	4279
561	5478	4269
562	5486	4258
563	5497	4249
564	5507	4240
565	5515	4229
566	5525	4219
567	5533	4208
568	5543	4199
569	5551	4187
570	5561	4178
571	5569	4167
572	5580	4158
573	5590	4149
574	5598	4137
575	5608	4128
576	5615	4116
577	5626	4107
578	5633	4096
579	5644	4087
580	5655	4078
581	5663	4067
582	5673	4057
583	5680	4046
584	5691	4037
585	5701	4028
586	5708	4016
587	5718	4007
588	5726	3996
589	5737	3986
590	5745	3975
591	5755	3966
592	5763	3955
593	5770	3944
594	5781	3935
595	5788	3923
596	5799	3914
597	5812	3907
598	5820	3896
599	5829	3886
600	5837	3875
601	5847	3865
602	5855	3854
603	5865	3845
604	5873	3834
605	5883	3825
606	5895	3817
607	5903	3806
608	5913	3796
609	5921	3785
610	5931	3776
611	5939	3765
612	5954	3759
613	5965	3750
614	5975	3740
615	5983	3729
616	5993	3720
617	6001	3709
618	6011	3700
619	6018	3688
620	6029	3679
621	6040	3670
622	6047	3659
623	6057	3650
624	6065	3639
625	6075	3629
626	6082	3618
627	6093	3609
628	6101	3598
629	6109	3587
630	6119	3578
631	6126	3567
632	6137	3558
633	6145	3547
634	6155	3537
635	6163	3527
636	6173	3518
637	6184	3509
638	6192	3498
639	6201	3488
640	6209	3477
641	6219	3468
642	6227	3457
643	6238	3448
644	6248	3439
645	6256	3428
646	6266	3418
647	6273	3408
648	6284	3398
649	6291	3387
650	6301	3378
651	6309	3367
652	6320	3358
653	6331	3349
654	6338	3338
655	6348	3329
656	6356	3318
657	6366	3309
658	6373	3298
659	6384	3289
660	6394	3279
661	6402	3268
662	6413	3259
663	6420	3248
664	6430	3239
665	6437	3228
666	6447	3218
667	6455	3208
668	6465	3198
669	6475	3189
670	6483	3178
671	6493	3169
672	6501	3158
673	6511	3149
674	6518	3138
675	6528	3129
676	6539	3119
677	6546	3109
678	6557	3099
679	6564	3089
680	6575	3079
681	6583	3069
682	6593	3060
683	6603	3050
684	6611	3040
685	6622	3031
686	6629	3020
687	6639	3011
688	6647	3000
689	6657	2991
690	6665	2980
691	6673	2970
692	6683	2960
693	6690	2950
694	6701	2940
695	6708	2930
696	6719	2920
697	6726	2910
698	6736	2901
699	6744	2890
700	6751	2879
701	6762	2870
702	6770	2860
703	6780	2850
704	6788	2840
705	6798	2830
706	6805	2820
707	6815	2811
708	6825	2801
709	6833	2791
710	6844	2782
711	6851	2771
712	6863	2762
713	6874	2753
714	6881	2743
715	6892	2733
716	6900	2723
717	6908	2713
718	6917	2703
719	6934	2696
720	6947	2688
721	6955	2677
722	6963	2667
723	6971	2657
724	6979	2647
725	6987	2637
726	6995	2627
727	7005	2617
728	7014	2607
729	7022	2597
730	7030	2587
731	7038	2576
732	7047	2567
733	7056	2557
734	7063	2546
735	7073	2537
736	7085	2528
737	7095	2518
738	7106	2509
739	7118	2501
740	7158	2501
741	7189	2499
742	7242	2504
743	7336	2524
744	7442	2547
745	7524	2562
746	7607	2576
747	7688	2590
748	7708	2583
749	7728	2576
750	7743	2567
751	7762	2560
752	7779	2551
753	7794	2542
754	7807	2533
755	7817	2523
756	7825	2511
757	7836	2501
758	7843	2490
759	7857	2481
760	7867	2470
761	7875	2459
762	7886	2449
763	7894	2438
764	7904	2428
765	7913	2417
766	7922	2406
767	7933	2396
768	7940	2385
769	7950	2374
770	7958	2363
771	7968	2353
772	8018	2354
773	8025	2343
774	8034	2332
775	8044	2322
776	8052	2311
777	8062	2300
778	8069	2289
779	8080	2279
780	8088	2268
781	8096	2256
782	8107	2246
783	8116	2236
784	8129	2226
785	8146	2218
786	8178	2213
787	8248	2219
788	8339	2230
789	8416	2237
790	8480	2240
791	8535	2241
792	8551	2232
793	8566	2222
794	8573	2210
795	8583	2199
796	8591	2188
797	8602	2177
798	8609	2165
799	8622	2155
800	8632	2144
801	8640	2133
802	8650	2122
803	8658	2110
804	8665	2099
805	8675	2088
806	8684	2076
807	8694	2066
808	8702	2054
809	8713	2043
810	8724	2033
811	8732	2021
812	8742	2010
813	8749	1999
814	8760	1988
815	8768	1977
816	8779	1966
817	8789	1955
818	8796	1943
819	8804	1932
820	8811	1921
821	8820	1910
822	8828	1898
823	8837	1887
824	8844	1876
825	8852	1864
826	8860	1853
827	8868	1842
828	8875	1830
829	8884	1819
830	8891	1808
831	8899	1797
832	8906	1785
833	8916	1774
834	8923	1763
835	8931	1752
836	8939	1740
837	8947	1729
838	8955	1718
839	8964	1707
840	8973	1696
841	8982	1685
842	8990	1674
843	8998	1663
844	9006	1652
845	9014	1640
846	9022	1629
847	9030	1618
848	9038	1607
849	9046	1596
850	9053	1585
851	9063	1574
852	9071	1563
853	9081	1552
854	9088	1541
855	9099	1530
856	9106	1519
857	9116	1508
858	9124	1497
859	9135	1487
860	9145	1476
861	9152	1465
862	9163	1454
863	9170	1443
864	9180	1432
865	9188	1421
866	9198	1411
867	9209	1400
868	9216	1389
869	9227	1378
870	9234	1367
871	9245	1357
872	9253	1346
873	9263	1335
874	9273	1324
875	9281	1313
876	9292	1303
877	9299	1292
878	9309	1281
879	9317	1270
880	9327	1259
881	9337	1249
882	9345	1238
883	9355	1227
884	9363	1216
885	9373	1206
886	9381	1195
887	9391	1184
888	9399	1173
889	9409	1162
890	9419	1152
891	9426	1141
892	9437	1130
893	9445	1119
894	9455	1109
895	9462	1098
896	9474	1087
897	9483	1077
898	9491	1066
899	9502	1055
900	9509	1044
901	9520	1034
902	9527	1023
903	9537	1012
904	9545	1001
905	9555	991
906	9566	980
907	9573	970
908	9584	959
909	9591	948
910	9601	938
911	9609	927
912	9619	916
913	9633	906
914	9643	895
915	9651	885
916	9661	874
917	9669	863
918	9679	853
919	9687	842
920	9699	831
921	9710	821
922	9717	810
923	9728	800
924	9736	789
925	9746	778
926	9756	768
927	9768	757
928	9780	747
929	9789	736
930	9798	726
931	9809	715
932	9817	704
933	9827	694
934	9836	683
935	9844	673
936	9854	662
937	9896	654
938	9906	643
939	9914	632
940	9924	622
941	9935	611
942	9943	601
943	9953	590
944	9961	579
945	9972	569
946	9988	559
947	9997	548
948	10011	538
949	10074	530
950	10154	523
951	10242	516
952	10296	507
953	10346	498
954	10378	489
955	10413	479
956	10442	469
957	10468	458
958	10476	447
959	10488	437
960	10496	425
961	10508	415
962	10518	404
963	10526	393
964	10536	382
965	10544	371
966	10555	360
967	10565	349
968	10573	338
969	10584	327
970	10592	316
971	10602	305
972	10610	294
973	10619	283
974	10631	272
975	10638	261
976	10650	250
977	10661	239
978	10671	228
979	10682	218
980	10689	207
981	10697	196
982	10706	185
983	10714	174
984	10722	163
985	10730	152
986	10739	141
987	10747	130
988	10760	119
989	10769	108
990	10776	97
991	10784	86
992	10792	76
993	10802	65
994	10810	54
995	10818	43
996	10826	32
997	10834	21
998	10841	10
999	10850	0
